seed,generation,best_fitness,mean_fitness
2,159,-131.8553,-132.8350
2,160,-131.8553,-132.7048
2,161,-131.8553,-133.2881
2,162,-131.8553,-133.1357
2,163,-131.8553,-133.0576
2,164,-131.8553,-132.8791
2,165,-131.8553,-133.2990
2,166,-131.8553,-133.1744
2,167,-131.8553,-132.7786
2,168,-131.8553,-133.1902
2,169,-131.8553,-132.8514
2,170,-131.8553,-132.5526
2,171,-131.8553,-132.7042
2,172,-131.8553,-132.6255
2,173,-131.8553,-133.3940
2,174,-131.8553,-133.1132
2,175,-131.8553,-132.7220
2,176,-131.8553,-132.8539
2,177,-131.8553,-132.7937
2,178,-131.8553,-133.1752
2,179,-131.8553,-133.0323
2,180,-131.8526,-133.1245
2,181,-131.8526,-132.8280
2,182,-131.8526,-133.0491
2,183,-131.8526,-133.2125
2,184,-131.8526,-132.7999
2,185,-131.8526,-132.9026
2,186,-131.8526,-133.1073
2,187,-131.8526,-132.9730
2,188,-131.8526,-132.9838
2,189,-131.8526,-132.8744
2,190,-131.8526,-132.9195
2,191,-131.8526,-133.0684
2,192,-131.8526,-132.9658
2,193,-131.8526,-132.9622
2,194,-131.8526,-133.0367
2,195,-131.8526,-133.1042
2,196,-131.8526,-133.3918
2,197,-131.8526,-132.8840
2,198,-131.8526,-133.1911
2,199,-131.8526,-132.9132
2,200,-131.8526,-132.7335
2,201,-131.8526,-132.9630
2,202,-131.8526,-133.0251
2,203,-131.8526,-132.7582
2,204,-131.8526,-132.7750
2,205,-131.8526,-133.2901
2,206,-131.8526,-133.0251
2,207,-131.8526,-132.7159
2,208,-131.8526,-133.1673
2,209,-131.8526,-132.7161
2,210,-131.8526,-132.7440
2,211,-131.8526,-133.1320
2,212,-131.8526,-132.6572
2,213,-131.8526,-132.4551
2,214,-131.8526,-132.7299
2,215,-131.8526,-132.6552
2,216,-131.8526,-133.2352
2,217,-131.8526,-133.1071
2,218,-131.8526,-132.8557
2,219,-131.8526,-132.9384
3,0,-133.4833,-141.3005
3,1,-132.6233,-134.2554
3,2,-132.4834,-133.9541
3,3,-132.4834,-134.1224
3,4,-132.3304,-133.5384
3,5,-132.3304,-133.5660
3,6,-132.3304,-133.8170
3,7,-132.3304,-133.4135
3,8,-132.2766,-133.4873
3,9,-132.2492,-133.5671
3,10,-132.1475,-133.3041
3,11,-132.1413,-133.2455
3,12,-132.1413,-133.1131
3,13,-132.1413,-133.0078
3,14,-132.1172,-133.3685
3,15,-132.1172,-133.1667
3,16,-132.1172,-133.3742
3,17,-132.1172,-133.5982
3,18,-132.1172,-133.3032
3,19,-132.1172,-133.0075
3,20,-132.1172,-132.7181
3,21,-132.1172,-133.1123
3,22,-132.1172,-133.3018
3,23,-132.1172,-133.2401
3,24,-132.1172,-133.2938
3,25,-132.1172,-133.1002
3,26,-132.1172,-133.2520
3,27,-132.1172,-133.1400
3,28,-132.1172,-132.8763
3,29,-132.1172,-133.1469
3,30,-132.0997,-133.0920
3,31,-132.0655,-133.0478
3,32,-132.0655,-132.9365
3,33,-132.0655,-133.0697
3,34,-132.0484,-133.1340
3,35,-132.0471,-133.4128
